,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
affiliation,19.99,26.04,3.05,9.91,5.33,7.91,1.2,4.84,9.3,0.13,4.21,3.96,0.8,0.52,1.49,0.09,0.0,0.18,0.03,0.0,0.28,0.01,0.1,0.06,0.12,0.03,0.03,0.03,0.03,0.0,0.17,0.02,0.03,0.02,0.07
achieve,13.65,3.8,1.8,46.93,0.43,3.19,4.6,5.6,0.75,0.04,11.97,0.43,0.62,0.01,0.0,0.0,0.55,0.23,0.85,0.85,2.7,0.02,0.15,0.0,0.43,0.15,0.0,0.0,0.17,0.01,0.01,0.0,0.03,0.0,0.02
power,24.88,3.87,49.1,1.3,2.34,2.06,0.34,8.53,0.06,0.8,0.0,1.8,0.35,0.32,0.02,0.48,0.19,0.81,0.01,0.46,0.2,0.35,0.43,0.26,0.14,0.12,0.16,0.2,0.03,0.06,0.02,0.19,0.09,0.04,0.01
reward,14.92,5.89,21.37,0.52,0.55,6.88,4.63,9.12,1.89,1.18,4.44,1.79,5.73,0.13,1.2,5.8,0.17,0.17,0.01,2.43,2.32,0.81,3.52,2.19,0.19,0.05,0.38,1.18,0.03,0.19,0.01,0.18,0.06,0.05,0.01
risk,29.01,0.43,9.33,0.51,0.79,0.57,0.13,4.94,0.05,7.03,1.16,1.17,15.88,4.93,8.2,0.02,0.5,0.15,3.49,0.41,4.06,2.0,0.25,0.03,2.38,0.28,0.29,1.22,0.5,0.02,0.0,0.24,0.0,0.04,0.0
focuspast,6.74,0.34,0.94,12.27,7.69,0.05,0.64,18.6,0.02,1.07,10.93,0.0,0.03,0.08,30.1,2.53,0.59,0.17,0.01,0.33,2.45,0.05,0.27,0.18,0.32,0.05,0.87,0.01,0.35,1.71,0.04,0.15,0.23,0.17,0.02
focuspresent,6.46,17.55,15.78,3.26,7.81,0.02,7.41,0.86,7.35,0.0,7.05,0.36,0.25,4.98,15.07,2.31,0.11,0.02,0.81,0.07,0.15,0.5,0.97,0.18,0.01,0.04,0.31,0.0,0.01,0.16,0.03,0.04,0.03,0.01,0.05
focusfuture,2.56,30.66,6.69,10.4,23.16,0.46,2.71,8.18,0.8,4.61,0.43,1.58,0.78,1.07,0.38,0.88,1.62,0.11,0.0,0.77,0.91,0.37,0.14,0.07,0.05,0.1,0.01,0.28,0.03,0.0,0.04,0.08,0.05,0.02,0.02
relativ,28.88,12.3,12.45,0.02,12.24,9.15,3.19,14.91,0.05,0.18,0.03,0.09,0.52,0.25,0.42,2.68,0.04,0.77,0.27,0.32,0.08,0.02,0.07,0.42,0.34,0.06,0.0,0.01,0.09,0.08,0.04,0.01,0.01,0.0,0.0
motion,0.06,35.18,14.16,5.63,10.98,9.64,0.87,5.98,0.23,0.67,0.43,0.59,3.79,0.01,4.47,2.68,0.79,1.05,0.35,0.02,0.0,0.08,0.01,0.03,0.01,0.5,0.81,0.02,0.12,0.03,0.7,0.0,0.02,0.04,0.05
space,23.61,11.61,7.21,0.1,22.4,4.19,3.17,8.75,0.24,1.94,0.0,1.3,0.96,0.7,0.36,1.03,0.01,2.66,0.35,0.34,2.6,0.38,0.52,3.47,0.21,0.49,0.82,0.02,0.34,0.08,0.05,0.07,0.02,0.02,0.0
time,43.09,1.58,2.49,8.31,1.38,7.88,2.1,9.19,0.36,0.91,1.47,1.65,0.22,5.18,1.17,3.66,0.06,0.17,0.12,1.63,1.0,0.0,0.01,1.72,3.15,0.64,0.13,0.1,0.01,0.13,0.31,0.01,0.01,0.08,0.06
work,12.07,5.06,3.87,41.57,0.77,0.47,6.53,9.0,0.44,0.02,9.25,1.93,0.22,1.35,0.06,0.35,2.23,1.69,0.0,0.12,1.6,0.01,0.13,0.22,0.2,0.0,0.08,0.02,0.18,0.01,0.21,0.32,0.03,0.0,0.0
leisure,6.47,5.2,3.21,0.38,1.6,9.78,2.06,0.05,6.58,2.47,13.8,7.12,6.07,0.36,0.0,15.13,0.87,0.1,8.67,0.07,5.47,0.19,0.5,0.25,0.42,1.0,1.25,0.08,0.71,0.0,0.12,0.01,0.0,0.0,0.01
home,17.48,1.29,1.06,1.54,0.85,6.09,2.9,8.34,0.0,21.19,1.92,0.1,9.15,0.2,2.72,0.08,0.67,0.9,0.43,7.88,4.95,0.45,1.73,0.17,3.23,1.55,0.03,1.08,0.33,1.16,0.05,0.17,0.28,0.01,0.03
money,8.2,0.27,0.21,0.5,1.26,0.04,2.24,9.26,2.28,28.2,0.31,3.01,7.34,1.05,1.04,0.57,6.51,8.15,0.0,8.7,3.51,0.67,0.35,2.03,0.83,2.5,0.46,0.1,0.21,0.0,0.03,0.03,0.04,0.05,0.05
relig,0.87,0.28,66.19,16.94,0.57,0.37,4.33,1.1,0.57,3.07,0.31,0.21,0.15,0.0,0.07,0.05,0.81,0.07,0.02,0.13,0.02,0.58,0.24,0.23,1.42,0.09,0.52,0.29,0.01,0.15,0.23,0.1,0.02,0.0,0.0
death,20.07,1.32,6.38,1.08,0.11,6.77,1.8,5.38,2.79,26.32,3.08,1.1,7.72,0.42,1.3,0.32,4.29,0.45,4.07,0.01,0.25,0.07,0.32,0.32,2.71,0.04,0.02,0.77,0.01,0.08,0.14,0.24,0.15,0.05,0.02
informal,31.81,2.07,13.43,5.28,1.09,14.84,1.13,4.88,5.9,2.42,2.7,1.96,0.3,0.98,0.92,0.54,5.25,1.15,0.03,0.03,0.15,0.0,1.71,0.43,0.04,0.52,0.01,0.07,0.19,0.08,0.03,0.0,0.01,0.04,0.0
swear,14.45,0.1,0.08,0.2,6.2,1.99,0.04,0.3,0.01,5.02,0.21,18.01,8.07,2.27,0.08,1.07,13.61,7.21,4.95,0.0,3.6,0.0,0.44,3.79,2.76,0.26,1.84,0.04,2.41,0.53,0.33,0.03,0.1,0.0,0.01
netspeak,18.8,0.08,2.34,0.33,8.05,11.98,1.12,20.92,21.95,0.01,1.7,3.77,0.0,1.15,2.04,1.0,0.05,0.05,0.23,0.05,0.14,0.0,1.19,0.43,0.01,1.23,0.21,0.1,0.0,0.61,0.02,0.06,0.39,0.0,0.0
assent,3.61,0.66,0.29,0.67,0.0,0.14,2.0,10.43,0.09,48.73,0.4,0.08,10.12,6.07,0.74,0.29,4.42,1.69,0.04,0.28,0.48,0.48,0.57,5.51,0.13,0.0,0.87,0.0,0.42,0.1,0.45,0.23,0.01,0.0,0.01
nonflu,6.55,5.15,50.79,6.2,0.48,5.69,1.44,7.52,1.25,0.07,1.99,1.1,3.08,1.35,0.07,0.03,3.56,0.39,0.07,0.01,0.0,0.25,1.1,0.0,0.12,0.0,0.08,0.74,0.08,0.09,0.21,0.19,0.32,0.02,0.01
AllPunc,14.36,24.51,1.83,14.65,4.58,6.9,15.68,4.27,1.02,2.72,0.13,0.22,1.33,0.18,3.29,0.71,0.25,0.1,1.37,0.57,0.08,0.09,0.24,0.05,0.01,0.1,0.24,0.37,0.01,0.03,0.05,0.01,0.05,0.0,0.02
Period,25.66,26.7,3.1,1.31,0.99,0.21,0.37,0.24,33.37,0.08,0.05,0.0,0.26,0.76,0.0,0.04,0.53,2.72,1.44,0.1,0.0,0.05,0.27,0.62,0.06,0.07,0.62,0.05,0.1,0.0,0.03,0.05,0.1,0.02,0.01
Comma,0.37,0.69,6.49,8.52,3.86,1.52,48.02,4.42,0.12,0.99,4.67,7.71,0.5,1.16,0.04,2.27,0.07,0.0,0.02,4.32,1.04,0.0,0.04,0.55,0.05,0.4,0.42,0.74,0.73,0.0,0.0,0.06,0.03,0.17,0.0
Colon,25.88,0.11,0.16,8.22,0.72,1.3,2.27,1.31,5.89,0.01,0.27,12.08,9.14,7.89,0.83,8.2,8.22,3.22,0.02,0.06,0.08,0.75,0.01,0.63,0.07,1.01,0.01,0.02,0.02,0.02,0.86,0.11,0.13,0.29,0.19
SemiC,1.04,0.74,4.31,4.86,17.4,11.41,4.19,4.61,0.91,0.09,21.23,0.18,0.07,0.71,5.65,0.01,3.17,11.14,0.27,3.39,0.37,0.0,0.0,1.87,0.06,0.38,0.91,0.53,0.13,0.07,0.0,0.06,0.1,0.0,0.12
QMark,16.47,2.76,0.21,2.53,8.36,0.86,10.95,5.43,3.64,8.2,0.08,6.38,3.25,16.86,2.73,0.07,0.84,0.27,0.14,0.67,3.54,1.71,1.22,0.07,0.01,0.0,1.21,0.01,0.4,0.91,0.0,0.02,0.01,0.16,0.01
Exclam,5.2,36.68,0.2,2.6,9.18,1.41,29.47,0.68,5.64,1.39,0.46,2.42,1.51,0.07,1.65,0.02,0.0,0.25,0.02,0.29,0.24,0.04,0.0,0.25,0.06,0.11,0.03,0.05,0.03,0.01,0.0,0.0,0.0,0.02,0.0
Dash,13.39,0.36,1.15,0.07,0.01,0.11,6.19,0.95,9.53,6.68,3.78,0.16,26.61,9.72,13.37,1.41,0.84,0.2,0.04,0.73,0.04,0.62,0.09,0.45,1.18,0.42,0.01,0.52,0.01,0.03,0.28,0.0,0.01,1.04,0.0
Quote,0.45,3.82,52.05,10.09,0.02,1.83,0.87,6.45,1.13,1.09,1.2,11.69,0.67,0.01,0.21,0.51,0.44,0.9,1.01,0.67,2.69,0.02,0.3,0.0,1.04,0.18,0.0,0.4,0.15,0.05,0.01,0.03,0.02,0.0,0.0
Apostro,34.3,0.16,1.2,6.56,8.29,0.82,0.38,2.46,3.71,0.1,8.07,0.17,0.59,0.15,1.35,7.47,1.11,1.12,6.3,2.59,0.23,0.01,0.12,4.06,0.96,4.87,0.11,2.02,0.01,0.04,0.23,0.33,0.0,0.1,0.01
OtherP,8.89,0.37,0.94,5.15,2.72,29.33,8.97,1.29,9.99,0.05,1.87,8.72,0.02,8.31,0.0,6.03,1.46,0.87,2.04,0.25,0.89,0.03,0.35,0.14,0.06,0.03,0.22,0.09,0.15,0.0,0.53,0.0,0.05,0.1,0.07
