,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
focusfuture,3.47,8.06,3.81,7.52,0.12,7.01,44.93,9.92,0.78,0.97,0.0,0.42,0.35,2.05,0.06,4.67,0.0,0.52,0.0,3.33,0.56,0.02,0.02,0.01,0.01,0.68,0.3,0.07,0.11,0.01,0.21
relativ,3.02,3.26,43.33,2.04,19.55,0.0,0.99,2.09,0.02,4.6,0.75,5.84,0.54,5.27,0.03,0.58,5.83,0.15,0.0,0.14,0.04,0.64,0.0,0.02,0.81,0.01,0.13,0.08,0.22,0.01,0.01
motion,0.12,1.0,34.81,2.38,14.32,6.69,9.2,2.39,1.92,2.24,7.47,1.29,2.27,0.04,0.07,0.82,4.88,0.95,0.38,0.52,2.32,1.9,1.13,0.05,0.13,0.29,0.0,0.31,0.01,0.07,0.05
space,2.02,3.89,48.26,0.22,11.04,5.66,0.61,3.74,0.06,1.28,0.54,0.8,0.03,9.34,1.79,4.06,0.43,0.5,0.2,0.63,2.54,0.24,0.37,0.46,0.35,0.62,0.21,0.06,0.05,0.01,0.0
time,5.48,31.42,18.57,0.05,0.06,0.02,0.02,7.19,5.59,4.07,7.98,7.04,0.03,0.59,0.68,1.94,0.37,0.84,2.64,0.51,2.32,0.58,0.5,0.05,0.43,0.02,0.05,0.07,0.6,0.07,0.22
work,3.19,7.68,0.14,2.62,1.97,6.8,0.52,14.18,2.59,5.57,3.61,23.96,4.05,1.97,0.57,0.07,0.71,7.47,2.14,1.85,2.72,0.29,2.08,0.76,1.13,0.31,0.85,0.02,0.06,0.08,0.05
leisure,1.48,0.22,3.76,14.09,19.91,0.58,29.94,0.32,0.24,4.03,0.05,2.8,0.01,0.04,4.72,0.45,5.37,0.03,5.18,3.78,0.45,0.96,0.1,0.04,0.48,0.73,0.0,0.0,0.07,0.04,0.13
home,1.32,7.12,0.17,3.98,6.15,5.84,0.01,14.94,20.92,1.59,7.2,12.12,8.66,3.9,0.21,0.08,0.01,0.44,0.87,0.01,0.08,0.52,1.07,0.65,0.85,0.23,0.83,0.03,0.09,0.11,0.0
money,0.35,5.16,2.36,8.38,6.08,0.28,0.85,20.07,1.89,0.22,21.67,9.94,2.75,0.02,2.3,6.85,1.53,0.15,2.12,0.34,0.07,0.0,0.09,4.58,0.11,1.15,0.17,0.06,0.43,0.01,0.01
relig,23.84,40.7,2.13,17.95,1.92,1.78,0.75,0.47,0.14,2.31,1.68,1.28,0.65,0.0,1.22,0.27,0.06,0.03,0.45,0.26,0.0,0.41,0.21,0.29,0.1,0.79,0.11,0.05,0.05,0.0,0.1
death,0.03,8.66,6.39,2.12,21.33,0.04,0.69,1.64,8.2,0.01,5.92,0.13,3.35,0.45,37.32,0.26,0.19,1.08,0.03,0.13,0.37,0.3,0.0,0.38,0.02,0.39,0.0,0.29,0.0,0.26,0.0
informal,25.32,3.05,16.31,14.92,2.21,18.07,0.94,0.1,1.73,0.43,0.66,0.16,2.58,0.96,1.32,4.26,0.5,0.97,2.85,1.23,0.24,0.0,0.01,0.21,0.1,0.02,0.0,0.55,0.07,0.22,0.01
swear,0.01,9.65,0.37,2.67,7.65,0.08,18.54,7.3,0.0,0.8,2.06,0.49,1.26,22.61,4.88,3.0,0.01,0.32,3.74,4.54,5.96,0.13,0.15,0.36,1.4,1.79,0.03,0.01,0.02,0.01,0.16
netspeak,32.09,0.08,35.58,4.19,1.7,2.76,3.32,0.1,0.69,0.0,0.67,1.27,7.07,3.66,3.28,1.08,0.03,0.05,1.12,0.15,0.02,0.16,0.01,0.03,0.21,0.06,0.01,0.22,0.03,0.33,0.02
assent,0.01,8.07,2.77,3.21,1.48,0.0,0.62,0.09,33.76,19.01,1.17,6.67,0.01,0.48,3.03,1.39,2.94,1.45,1.07,0.12,1.67,4.3,3.14,0.3,1.2,1.33,0.23,0.15,0.01,0.12,0.16
nonflu,0.0,3.27,5.04,12.91,26.73,25.95,0.04,0.35,0.27,0.19,0.03,6.16,2.75,0.04,0.01,2.86,0.93,2.22,1.33,4.95,0.26,0.72,0.38,0.58,1.54,0.15,0.09,0.24,0.01,0.0,0.01
AllPunc,34.19,34.11,5.75,0.64,7.19,2.41,1.83,0.2,0.0,2.44,0.3,4.47,2.16,0.84,0.23,0.65,0.2,0.18,0.75,0.5,0.11,0.34,0.02,0.05,0.0,0.06,0.15,0.12,0.08,0.0,0.01
Period,0.46,65.69,0.07,2.31,0.57,6.63,2.65,6.14,0.84,3.75,0.46,0.24,1.17,1.63,2.49,0.4,0.04,1.55,0.27,1.15,0.31,0.01,0.0,0.19,0.26,0.04,0.12,0.28,0.12,0.02,0.14
Comma,9.91,0.11,19.87,4.03,10.25,12.37,0.56,4.29,2.2,2.6,0.45,0.12,14.32,1.04,0.76,3.39,2.85,2.3,0.51,0.05,3.53,2.12,0.7,0.23,0.09,0.01,0.47,0.57,0.28,0.02,0.01
Colon,0.07,3.78,0.0,3.42,1.55,0.16,2.28,0.16,11.44,17.69,5.36,0.05,1.72,22.56,0.5,0.05,13.46,2.52,2.63,3.17,0.51,0.0,2.04,2.99,0.04,1.21,0.22,0.4,0.01,0.0,0.0
SemiC,28.05,7.16,23.45,0.04,1.2,1.65,0.21,6.52,0.19,4.91,2.74,13.35,0.32,0.43,0.13,0.41,0.86,0.0,0.01,0.05,7.16,0.0,0.2,0.13,0.12,0.54,0.02,0.0,0.04,0.09,0.0
QMark,6.45,13.31,1.92,47.1,0.0,6.0,15.18,0.28,0.59,0.49,0.98,0.89,0.3,1.66,0.15,1.79,0.01,0.06,1.31,0.56,0.07,0.14,0.04,0.04,0.32,0.01,0.0,0.07,0.24,0.02,0.04
Exclam,0.66,0.15,8.67,0.02,20.73,0.38,5.74,17.22,2.54,0.03,2.34,11.76,2.68,3.77,7.19,7.16,2.73,3.43,0.05,0.03,0.07,0.18,0.26,1.43,0.06,0.12,0.03,0.0,0.52,0.05,0.0
Dash,0.44,2.31,0.13,0.07,9.66,0.14,5.97,14.0,16.75,29.5,0.66,2.85,0.01,2.48,0.86,2.54,2.11,0.03,0.03,2.93,2.77,0.0,0.33,0.93,1.06,0.09,1.11,0.14,0.06,0.0,0.03
Quote,0.56,1.92,1.81,3.84,18.46,6.56,41.99,10.85,1.0,0.02,0.1,0.06,0.01,0.23,0.26,0.39,0.39,0.09,5.42,0.0,2.5,0.41,1.11,0.68,0.04,0.21,0.47,0.06,0.09,0.11,0.36
Apostro,26.0,11.71,1.63,9.36,0.0,23.43,14.69,1.66,0.95,1.57,3.06,1.76,0.0,0.16,0.3,0.0,0.26,1.23,1.1,0.11,0.01,0.0,0.19,0.04,0.13,0.12,0.34,0.07,0.0,0.09,0.0
OtherP,0.17,7.87,0.62,1.02,0.39,10.29,0.16,10.79,36.7,1.6,0.63,2.21,3.03,0.71,7.09,0.29,0.28,0.31,0.02,1.86,0.97,5.25,2.96,3.71,0.38,0.61,0.04,0.0,0.0,0.04,0.01
